,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,
,,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,,
TERM,COURSE,INSTRUCTOR LAST NAME,INSTRUCTOR FIRST NAME,SECTION ENROLLMENT,XLIST GROUP,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16
"PLEASE NOTE: COURSES WITH MULTIPLE INSTRUCTORS HAVE MULTIPLE ROWS, ONE ROW PER INSTRUCTOR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 05,ARCH 627.001, Grenader, Nonya S,28, Q4,1.86,1.86,1.71,1.57,1.57,2.14,2.14,2.00,1.71,2.57,1.86,2.14,2.00,3.14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Fall 05,ARCH 635.001, Koehler, Laura Crystal,12, R5,1.17,1.00,1.33,1.00,1.00,1.17,1.33,1.17,1.17,1.00,1.17,1.33,1.17,3.00,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4
Fall 05,ARCH 635.001, Koehler, Peter John,12, R5,1.17,1.00,1.33,1.00,1.00,1.17,1.33,1.17,1.17,1.00,1.17,1.33,1.17,3.00,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4
Fall 05,ARCH 645.001, Kostich, Gordana,29, R6,5.55,6.45,5.55,4.91,4.91,5.73,6.27,6.45,4.82,6.36,5.73,6.09,6.36,1.82,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10
Fall 05,ARCH 653.001, White, Frank S,24, W4,1.92,2.08,1.50,1.42,1.67,1.67,1.75,2.00,1.58,2.33,1.92,1.92,2.00,2.58,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11
Fall 05,ARCH 655.001, Lord, Tom Forrester,16, S5,2.50,2.50,2.67,2.17,2.33,2.92,2.67,2.58,1.83,3.17,3.73,3.83,2.75,1.75,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12
Fall 05,ARCH 659.001, El-Dahdah, Fares,13, P6,2.57,2.43,1.71,2.14,1.43,2.29,2.14,2.14,1.57,2.71,2.83,2.57,2.43,2.29,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6
Fall 05,ARCH 683.001, Last, Nana D,38, R8,1.20,2.00,1.40,1.72,1.84,2.24,1.60,1.64,1.36,1.72,2.21,1.76,1.88,3.72,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,22
Fall 05,ARCH 685.001, Kostich, Gordana,11, ,5.33,5.67,4.56,4.78,5.11,4.22,3.89,5.44,3.11,5.67,4.78,4.22,5.56,2.44,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8
Fall 05,ARCH 691.001, Downing, Christopher Thomas,10, ,3.13,3.13,2.63,4.25,3.00,3.00,3.63,4.13,3.63,4.50,3.88,3.88,3.88,3.13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Fall 05,ARCH 691.001, Cannady, William T,10, ,2.63,2.75,2.63,2.50,2.25,2.75,2.88,2.75,2.00,3.63,3.86,3.63,3.63,3.13,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8
Fall 05,ARCH 703.001, El-Dahdah, Fares,23, ,3.50,3.33,3.18,3.00,3.09,2.85,3.91,3.42,3.08,3.64,3.75,3.80,3.58,4.33,12,12,11,12,11,13,11,12,12,11,8,10,12,12,12,8
Fall 05,ARCH 706.001, El-Dahdah, Fares,1, ,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,5.00,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Fall 05,ARTV 205.001, Winningham, Geoffrey L,23, ,1.68,2.32,1.53,1.16,1.37,1.47,1.58,1.63,1.16,1.95,1.53,1.58,1.47,3.79,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
