,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,,
,,,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,,,
TERM,COURSE,CRN,INSTRUCTOR NAME,SECTION ENROLLMENT,XLIST GROUP,XLIST ENROLLMENT,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
PLEASE NOTE: The order of the questions on this Summary Sheet differs slightly from the order of questions on ESTHER (ESTHER additionally displays Course Evaluations as separate from Instructor Evaluations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE: COURSES WITH MULTIPLE INSTRUCTORS HAVE MULTIPLE ROWS, ONE ROW PER INSTRUCTOR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE RE CROSS-LISTED COURSES: If a course is cross-listed, evaluation results have been combined and the combined total will appear under each course listing, and under each instructor's name.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 11,ANTH 650 001,24086,"Faubion, James D.",6,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
Spring 11,ANTH 800 001,21149,"Faubion, James D.",10,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.50,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Spring 11,ARAB 102 001,20378,"Awad, Maher M.",8,,,2.17,2.83,1.83,2.83,3.17,2.83,2.83,3.00,2.50,2.17,2.17,1.83,2.83,3.50,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,3
Spring 11,ARAB 202 001,20379,"Awad, Maher M.",8,,,2.00,2.17,2.00,2.00,2.17,2.00,2.00,2.00,1.67,2.00,2.00,1.83,2.00,3.17,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,3
Spring 11,ARAB 302 001,20380,"Awad, Maher M.",6,,,2.40,2.40,1.80,2.00,2.00,2.20,2.00,2.40,1.80,2.20,2.40,2.00,2.40,3.40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
Spring 11,ARCH 102 001,20257,"Alford, Grant",15,,,1.38,1.31,1.31,1.15,1.23,1.31,1.31,1.23,1.23,1.38,1.15,1.15,1.15,4.62,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,5
Spring 11,ARCH 102 002,25893,"Finley, Dawn M.",10,,,1.38,1.25,1.25,1.25,1.13,1.13,1.38,1.13,1.25,1.38,1.38,1.00,1.25,4.38,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3
Spring 11,ARCH 132 001,20258,"Casbarian, John J.",26,,,1.39,1.52,1.30,1.83,1.65,1.65,1.65,1.70,1.65,1.39,2.04,1.91,1.57,1.57,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,9
Spring 11,ARCH 202 001,20259,"Oliver, Douglas E.",11,,,1.73,1.60,1.64,1.64,1.27,1.09,1.18,1.36,1.18,1.64,1.45,1.18,1.45,4.82,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4
Spring 11,ARCH 202 002,25894,"Wittenberg, Gordon G.",10,,,1.71,2.14,1.57,1.43,1.29,1.29,1.43,1.71,1.14,1.43,1.14,1.29,1.14,4.86,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0
Spring 11,ARCH 302 001,20261,"Jimenez, Carlos",8,,,1.67,1.67,1.83,1.67,1.33,1.33,1.50,1.33,1.17,1.67,1.33,1.33,1.17,4.83,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0
Spring 11,ARCH 302 002,20262,"Schaum, Robert T.",9,,,1.50,1.33,1.50,1.83,1.83,1.33,1.17,1.50,1.33,1.50,1.00,1.00,1.17,4.33,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
Spring 11,ARCH 305 001,25879,"Alford, Grant",14,,,1.36,1.36,1.27,1.45,1.27,1.27,1.27,1.40,1.18,1.18,1.64,1.55,1.64,4.09,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,10,3
Spring 11,ARCH 305 001,25879,"Casbarian, John J.",14,,,1.30,1.30,1.20,1.30,1.30,1.30,1.30,1.30,1.20,1.18,1.64,1.55,1.64,4.09,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,10,3
Spring 11,ARCH 309 002,25911,"Spieler, Christof T.",23,,,1.43,1.71,1.65,1.30,1.71,2.00,2.10,1.86,1.48,1.76,2.43,2.00,2.05,2.71,21,21,20,20,21,21,21,21,21,21,21,21,21,21,21,20,3
Spring 11,ARCH 313 001,20265,"Taylor, Rives T.",25,H1,28,1.57,1.67,1.71,1.57,1.67,1.62,1.76,1.67,1.52,1.95,1.90,1.95,1.90,2.33,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,7
Spring 11,ARCH 346 001,20270,"Hight, Charles C.",23,,,1.45,1.90,1.32,1.85,1.79,2.00,1.79,1.85,1.60,1.80,2.20,1.95,2.00,3.25,20,20,19,20,19,20,19,20,20,20,20,20,20,20,20,19,3
Spring 11,ARCH 353 001,23706,"White, Frank S.",4,,,1.67,2.00,1.33,1.67,2.67,1.33,1.33,1.67,1.33,2.00,1.67,2.00,2.33,2.33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
Spring 11,ARCH 358 001,20272,"Oliver, Douglas E.",12,,,1.25,1.25,1.38,1.38,1.25,1.38,1.50,1.25,1.25,1.25,1.63,1.50,1.38,3.50,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1
Spring 11,ARCH 366 001,25309,"Metcalf, Alida C.",4,C4,11,1.40,1.60,1.40,1.20,1.40,1.40,1.40,1.40,1.40,2.25,2.25,2.00,1.80,3.00,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,0
Spring 11,ARCH 366 001,25309,"El-Dahdah, Fares",4,C4,11,1.80,2.20,1.80,2.00,1.60,1.80,1.80,1.80,1.40,2.25,2.25,2.00,1.80,3.00,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,0
Spring 11,ARCH 374 001,20274,"Jimenez, Carlos",13,,,1.55,1.55,1.82,1.55,1.36,1.82,1.82,1.55,1.45,1.91,1.91,2.27,1.73,1.82,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3
Spring 11,ARCH 394 001,25765,"Stratigakos, Despina",0,B6,1,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,3.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Spring 11,ARCH 397 001,25880,"Wittenberg, Gordon G.",3,,,2.33,1.67,2.00,1.00,1.33,2.00,1.67,1.67,1.00,3.00,2.33,2.00,2.00,2.33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
Spring 11,ARCH 402 001,20277,"Pope, Albert H.",11,,,2.50,2.30,2.00,2.10,2.30,2.30,2.30,2.50,1.60,2.30,2.30,1.90,2.20,3.80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4
Spring 11,ARCH 402 002,20278,"Witte, Ronald R.",10,,,3.25,2.50,2.13,2.75,3.50,2.75,2.50,3.25,2.38,3.13,2.75,1.75,2.75,4.75,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2
Spring 11,ARCH 423 001,20283,"Furr, James E.",6,,,2.00,1.80,1.60,1.60,1.40,2.00,2.00,1.60,1.40,1.80,1.40,2.00,1.60,2.20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
Spring 11,ARCH 423 001,20283,"Fleishacker, Alan L.",6,,,1.60,1.80,1.40,1.20,1.40,1.80,1.80,1.40,1.20,1.80,1.40,2.00,1.60,2.20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
Spring 11,ARCH 433 001,25899,"Whiting, Sarah",3,,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,3.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
Spring 11,ARCH 480 001,24799,"Craig, Jacqueline N.",5,,,1.25,1.50,1.25,1.00,1.00,1.25,1.25,1.50,1.00,1.75,1.25,1.00,1.50,2.50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
Spring 11,ARCH 498 001,25883,"Bhatia, Neeraj",8,,,1.20,1.20,1.40,1.40,1.40,1.60,1.20,1.20,1.20,1.40,1.40,1.40,1.40,4.20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
Spring 11,ARCH 500 001,20290,"Casbarian, John J.",21,,,1.29,1.29,1.14,1.29,1.14,1.29,1.43,1.29,1.14,1.63,1.75,1.38,1.50,3.50,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,5,6
Spring 11,ARCH 502 001,20291,"Wamble, Mark S.",11,,,1.50,1.33,1.83,1.17,1.00,1.33,1.33,1.17,1.17,1.50,1.33,1.33,1.17,4.67,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1
Spring 11,ARCH 504 001,20292,"El-Dahdah, Fares",7,,,3.25,2.50,2.75,3.50,2.33,2.75,3.00,3.75,3.25,3.75,3.75,3.75,3.25,2.75,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,0
Spring 11,ARCH 504 002,25895,"Turan, Fatma N.",11,,,2.75,2.88,2.25,2.50,2.63,3.00,2.63,2.88,2.75,2.75,2.63,2.13,2.88,3.38,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,0
Spring 11,ARCH 509 002,25912,"Spieler, Christof T.",11,,,2.43,2.86,2.00,2.29,2.29,2.14,2.43,2.57,2.14,2.29,3.00,2.43,2.71,3.57,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2
Spring 11,ARCH 512 001,25990,"Soyoz, Ufuk",0,R8,2,1.50,1.50,1.50,1.50,1.50,1.00,1.50,1.00,1.50,1.50,1.50,1.00,1.50,4.00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Spring 11,ARCH 602 002,20298,"Haettasch, Martin",8,,,1.86,2.00,2.00,2.00,2.00,2.29,2.14,2.14,2.00,1.71,1.71,1.57,2.00,4.29,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
Spring 11,ARCH 602 003,20299,"Samuels, Danny M.",7,,,1.33,1.33,1.00,1.00,1.17,1.33,1.50,1.33,1.17,1.67,1.00,1.33,1.17,4.33,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1
Spring 11,ARCH 602 003,20299,"Grenader, Nonya S.",7,,,1.33,1.17,1.00,1.00,1.00,1.17,1.33,1.17,1.17,1.67,1.00,1.33,1.17,4.33,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,1
Spring 11,ARCH 605 001,25875,"Alford, Grant",6,,,1.25,1.00,1.00,1.33,1.00,1.00,1.00,1.00,1.00,1.50,1.75,1.25,1.25,3.33,4,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,0
Spring 11,ARCH 605 001,25875,"Casbarian, John J.",6,,,1.33,1.33,1.00,1.33,1.00,1.00,1.33,1.33,1.00,1.50,1.75,1.25,1.25,3.33,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,0
Spring 11,ARCH 613 001,20301,"Taylor, Rives T.",3,,,2.67,3.33,2.33,2.33,2.33,4.33,2.67,4.00,3.67,4.33,4.33,4.33,5.00,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
